Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference
1,0.0011980000417679548,0.6452144980430603,0.2599755823612213,0.385238915681839
2,0.0013960000360384583,0.110804483294487,0.025644812732934952,0.08515967056155205
3,0.0015940000303089619,0.019039135426282883,0.003970384132117033,0.01506875129416585
4,0.0017920000245794654,0.002000571461394429,0.002609360497444868,-0.0006087890360504389
5,0.001990000018849969,0.00132563931401819,0.0013016083976253867,2.4030916392803192e-05
6,0.001990000018849969,0.0009715330670587718,0.01261958945542574,-0.011648056388366967
7,0.001990000018849969,0.0004983422695659101,0.004993143491446972,-0.004494801221881062
8,0.001990000018849969,0.0003618845948949456,0.0012851136270910501,-0.0009232290321961045
9,0.001990000018849969,0.00034439883893355727,0.001042633899487555,-0.0006982350605539978
10,0.001791000016964972,0.0002652080147527158,0.0011855365009978414,-0.0009203284862451255
11,0.001791000016964972,0.00023174674424808472,0.0035168330650776625,-0.0032850863208295777
12,0.001791000016964972,0.0002235528372693807,0.00367294461466372,-0.0034493917773943394
13,0.001791000016964972,0.00021389902394730598,0.002137491712346673,-0.001923592688399367
14,0.000895500008482486,0.0002130181819666177,0.01876303367316723,-0.01855001549120061
15,0.000895500008482486,0.0001368345256196335,0.001532177091576159,-0.0013953425659565255
16,0.000895500008482486,0.0001284099998883903,0.0008017299696803093,-0.000673319969791919
17,0.000895500008482486,0.00012194178270874545,0.002375273499637842,-0.0022533317169290967
18,0.000895500008482486,0.00011645417544059455,0.0014671317767351866,-0.001350677601294592
19,0.000895500008482486,0.00011728153913281858,0.00166921631898731,-0.0015519347798544914
20,0.0008059500250965357,0.00011256917787250131,0.002785950666293502,-0.0026733814884210005
21,0.0008059500250965357,0.0001076461558113806,0.0005786295514553785,-0.00047098339564399794
22,0.0008059500250965357,0.0001073387247743085,0.00027412179042585194,-0.00016678306565154344
23,0.0008059500250965357,0.00010585657582851127,0.0023672787938266993,-0.002261422217998188
24,0.0008059500250965357,0.00010179768287343904,0.0002975169918499887,-0.00019571930897654966
25,0.0008059500250965357,0.0001039185153786093,0.0012354066129773855,-0.0011314880975987762
26,0.0008059500250965357,0.00010241685231449082,0.001134367659687996,-0.001031950807373505
27,0.00040297501254826784,9.632062574382871e-05,0.0021698030177503824,-0.0020734823920065537
28,0.00040297501254826784,7.365705096162856e-05,7.906302926130593e-05,-5.405978299677372e-06
