epoch;loss;mean_squared_logarithmic_error;val_loss;val_mean_squared_logarithmic_error
0;0.007032030262053013;0.003726252820342779;0.0021220562048256397;1.297717335546622e-05
1;0.0010041868081316352;7.013881258899346e-06;0.0002576247788965702;1.120227807405172e-06
2;8.253048872575164e-05;2.8634640329983085e-06;1.1666136742860544e-05;5.525712367671076e-07
3;6.0480647334770765e-06;1.8668403072297224e-06;2.4494784156559035e-06;1.023134700517403e-06
4;2.3797933863534126e-06;1.4389385114554898e-06;1.0606987643768662e-06;3.842479827653733e-07
5;1.7847908111434663e-06;1.21584946555231e-06;1.0760508075691178e-06;5.932574822509196e-07
6;1.4600045687984675e-06;1.0465889772603987e-06;4.275908054296451e-07;8.800824957688747e-08
7;1.2112562899346813e-06;9.234747722075554e-07;3.0495684200104733e-07;6.133588925649747e-08
8;1.0001119790103985e-06;7.82515940045414e-07;2.7212590225644817e-07;7.262915602268549e-08
9;9.608345408196328e-07;7.7069779536032e-07;2.7434865046416235e-07;9.335339967719847e-08
10;9.421036111234571e-07;7.65252025303198e-07;2.166925696656108e-07;4.4503277507601524e-08
11;9.289026934311551e-07;7.590482482555672e-07;1.9479105617392634e-07;2.7864976104297057e-08
12;9.183593761008524e-07;7.54024426896649e-07;1.924045704981836e-07;3.0929051320072176e-08
13;8.977781362773385e-07;7.379377962024591e-07;1.9952771879161446e-07;4.25949266968928e-08
14;8.907257438295346e-07;7.34866830498504e-07;1.8159812498197425e-07;2.803198206891011e-08
15;8.865209224495629e-07;7.339356216107262e-07;2.042244773292623e-07;5.326021579321605e-08
16;8.870898113855219e-07;7.365010787907522e-07;1.8145532010294119e-07;3.2157267071397655e-08
17;8.830359661260445e-07;7.341876084865362e-07;1.9572043186144583e-07;4.734445013809818e-08
18;8.788113632363093e-07;7.316933192669239e-07;1.7789098194498365e-07;3.159258810114807e-08
19;8.742044883547351e-07;7.28843190245243e-07;1.8446573335495486e-07;4.0428894010346994e-08
