Area_Predicted,Area_True,rel_err,abs_err
0.008740309,0.0085816187561324,0.00015868993840905364,0.00015868993840905364
0.0050222864,0.0050687402054619,-4.645376801006018e-05,4.645376801006018e-05
0.006185977,0.0061792268987562,6.749889645403691e-06,6.749889645403691e-06
0.0029332316,0.0028766334348463,5.659821321139921e-05,5.659821321139921e-05
0.006597118,0.0063503655892349,0.00024675239729516577,0.00024675239729516577
0.010850883,0.0109531339458485,-0.00010225085684255342,0.00010225085684255342
0.0019689202,0.0021500512329119,-0.00018113100204642137,0.00018113100204642137
0.0068768114,0.00676015943661,0.00011665194854472427,0.00011665194854472427
0.002850312,0.0028611086154819,-1.0796574363159013e-05,1.0796574363159013e-05
0.012099081,0.012460059303592,-0.00036097858453825425,0.00036097858453825425
0.0050019994,0.0049429822579058,5.9017179903190185e-05,5.9017179903190185e-05
0.010586754,0.0105264678974265,6.0286521483049124e-05,6.0286521483049124e-05
0.00042843583,0.000783870821743,-0.0003554349925077592,0.0003554349925077592
0.0043269675,0.0043429629199268,-1.599539742485473e-05,1.599539742485473e-05
0.009531174,0.0095251653906038,6.008464462499766e-06,6.008464462499766e-06
0.006551317,0.0063684196589153,0.00018289728037903814,0.00018289728037903814
0.009498423,0.0093252684023737,0.00017315456303367179,0.00017315456303367179
0.005341254,0.0052861479244319,5.5106250277420395e-05,5.5106250277420395e-05
0.01051129,0.0103501462528741,0.00016114402913693267,0.00016114402913693267
0.0018852827,0.0019794474820172,-9.416479138038645e-05,9.416479138038645e-05
0.0008878409,0.0012198893724794,-0.00033204844443522987,0.00033204844443522987
0.007934671,0.0079800672601995,-4.539636486144104e-05,4.539636486144104e-05
0.005822242,0.0056919196067402,0.00013032216522601905,0.00013032216522601905
0.0099070165,0.0098982582614693,8.758269163673324e-06,8.758269163673324e-06
0.010189506,0.0099811809533435,0.0002083252719444137,0.0002083252719444137
0.0048225787,0.0048232286669675,-6.499201420434239e-07,6.499201420434239e-07
0.007294852,0.0071534119009585,0.00014143991995743763,0.00014143991995743763
0.004782032,0.0047820886199292,-5.639837349045995e-08,5.639837349045995e-08
0.003989543,0.0039779815905337,1.1561243927035031e-05,1.1561243927035031e-05
0.011673887,0.0118434731063089,-0.0001695858460507016,0.0001695858460507016
0.009995256,0.0099063555660107,8.890005327679036e-05,8.890005327679036e-05
0.011900901,0.0120084868028318,-0.00010758593972078068,0.00010758593972078068
0.0028288914,0.0027992353291671,2.965605990484137e-05,2.965605990484137e-05
0.004172994,0.0042103115648613,-3.7317740975382e-05,3.7317740975382e-05
0.012012731,0.0125494123249195,-0.0005366810410163785,0.0005366810410163785
0.0035260948,0.0034283949091226,9.769992612896966e-05,9.769992612896966e-05
0.0028151723,0.0028602089444766,-4.5036635420675746e-05,4.5036635420675746e-05
0.0014640355,0.0016721287373482,-0.00020809325892764442,0.00020809325892764442
0.011916521,0.0120854971376049,-0.00016897613227243036,0.00016897613227243036
0.0052997046,0.0052665957368168,3.310887820991235e-05,3.310887820991235e-05
0.0036089867,0.0035516259954294,5.736073991453308e-05,5.736073991453308e-05
0.00272764,0.0026504094529068,7.723064132873943e-05,7.723064132873943e-05
0.001478884,0.0015456410605195,-6.675704063056247e-05,6.675704063056247e-05
0.009546771,0.0095484866425045,-1.715928281114526e-06,1.715928281114526e-06
0.0013606539,0.0015939283015936,-0.00023327440198355745,0.00023327440198355745
0.009959709,0.0098725712075349,8.713769172466641e-05,8.713769172466641e-05
6.4041065e-05,0.0001087149053337,-4.467383999051002e-05,4.467383999051002e-05
0.0024853921,0.0026893203717825,-0.00020392822224469826,0.00020392822224469826
0.010236145,0.0100197382909622,0.00021640670621730744,0.00021640670621730744
0.0070001185,0.0069613955440686,3.8722949965213846e-05,3.8722949965213846e-05
0.0078494055,0.0078579122719465,-8.506752282212357e-06,8.506752282212357e-06
0.007017887,0.0066629535039231,0.0003549336935118018,0.0003549336935118018
0.0044727856,0.0043069682273651,0.00016581740196696532,0.00016581740196696532
0.010443199,0.0105535160945532,-0.000110316668617454,0.000110316668617454
0.0063762013,0.0063444058324195,3.179545449246476e-05,3.179545449246476e-05
0.002476009,0.0027280760637689,-0.00025206698917034937,0.00025206698917034937
0.0033499238,0.0033271804358985,2.274332566301303e-05,2.274332566301303e-05
0.0114132045,0.0112348917755122,0.00017831270817567774,0.00017831270817567774
0.005865764,0.0056742873697691,0.00019147650309276221,0.00019147650309276221
0.008650529,0.0085158856333772,0.00013464356497132172,0.00013464356497132172
0.005569339,0.0055738864744583,-4.547675935350805e-06,4.547675935350805e-06
0.011676753,0.0118243795452636,-0.00014762660544330973,0.00014762660544330973
0.010330809,0.0104204228834002,-8.961360312390206e-05,8.961360312390206e-05
0.01018032,0.0101072690798441,7.305057956780679e-05,7.305057956780679e-05
0.01139003,0.0118163495638267,-0.00042631917976297846,0.00042631917976297846
0.009533524,0.0095087813260153,2.4742255906753594e-05,2.4742255906753594e-05
0.0077412906,0.0077072280557438,3.406255453981301e-05,3.406255453981301e-05
0.0029424,0.0029918618022797,-4.94617491361986e-05,4.94617491361986e-05
0.002932688,0.0029018149544787,3.087303402606739e-05,3.087303402606739e-05
0.011080491,0.0111189913673825,-3.850001083085218e-05,3.850001083085218e-05
0.008590459,0.0086213435969471,-3.088470466127563e-05,3.088470466127563e-05
0.007347447,0.0073026746725608,4.4772193772684744e-05,4.4772193772684744e-05
0.008177384,0.0080702949661885,0.00010708883664267352,0.00010708883664267352
0.0042554373,0.0041336107491121,0.00012182654304650382,0.00012182654304650382
