epoch,accuracy,loss,val_accuracy,val_loss
0,0.8854694962501526,0.2803347706794739,0.85176020860672,0.43502771854400635
1,0.8987866044044495,0.25290653109550476,0.8819524049758911,0.32838448882102966
2,0.9010445475578308,0.24882106482982635,0.9042677879333496,0.24258911609649658
3,0.90227210521698,0.24568526446819305,0.8632564544677734,0.3004623353481293
4,0.9029453992843628,0.24509769678115845,0.7768071293830872,0.44179412722587585
0,0.8800050616264343,0.2928611934185028,0.8660946488380432,0.30911093950271606
1,0.895490825176239,0.2598336935043335,0.8754687309265137,0.30233529210090637
2,0.8979049921035767,0.25449874997138977,0.8914305567741394,0.26055803894996643
3,0.8983364701271057,0.2522149980068207,0.9023148417472839,0.24312731623649597
4,0.9003377556800842,0.249123215675354,0.8307207822799683,0.392638236284256
5,0.9012714624404907,0.24658098816871643,0.9053484201431274,0.23920579254627228
6,0.9018480181694031,0.24518892168998718,0.6375898122787476,0.8436146974563599
7,0.9025696516036987,0.24410368502140045,0.8572414517402649,0.36291560530662537
8,0.902681291103363,0.2429792284965515,0.8926544189453125,0.2551213204860687
9,0.9036707282066345,0.24188199639320374,0.8935267329216003,0.27100902795791626
10,0.9035516977310181,0.24306213855743408,0.8216722011566162,0.39167511463165283
11,0.9041097164154053,0.23998042941093445,0.8844781517982483,0.2730911374092102
12,0.9040315747261047,0.2412179410457611,0.8930580019950867,0.2664191424846649
13,0.9038009643554688,0.24162784218788147,0.8880324959754944,0.2849923074245453
14,0.9052107930183411,0.2389584481716156,0.8955187201499939,0.26148056983947754
15,0.9043217301368713,0.24045999348163605,0.83587646484375,0.46357443928718567
