epoch;loss;mae;mse;val_loss;val_mae;val_mse
0;0.17090879380702972;0.06480911374092102;0.007727643474936485;0.08410593122243881;0.0120677649974823;0.00022804574109613895
1;0.08610056340694427;0.03984920307993889;0.0025874534621834755;0.03849982097744942;0.011702360585331917;0.0001837641029851511
2;0.0532352514564991;0.03524301201105118;0.002006315626204014;0.02495281770825386;0.012826001271605492;0.00028420667513273656
3;0.04235249012708664;0.03305363282561302;0.0017754099098965526;0.018125468865036964;0.010919089429080486;0.00014881913375575095
4;0.03759707883000374;0.031594596803188324;0.001643708674237132;0.014291252009570599;0.009245664812624454;0.0001308636274188757
5;0.03508801758289337;0.030641911551356316;0.0015577864833176136;0.013448006473481655;0.009461045265197754;0.00013929163105785847
6;0.03347952663898468;0.029822038486599922;0.0014865752309560776;0.008329520002007484;0.004923400469124317;4.243248258717358e-05
7;0.032052479684352875;0.02884325385093689;0.0014080581022426486;0.012781774625182152;0.009742699563503265;0.0001323762262472883
8;0.031374868005514145;0.028441432863473892;0.0013888467801734805;0.008849802426993847;0.006016981787979603;7.706987526034936e-05
9;0.030615229159593582;0.02783881686627865;0.0013409745879471302;0.007294955663383007;0.0045887790620327;4.384569183457643e-05
10;0.02978745475411415;0.027159610763192177;0.0012960996245965362;0.007966019213199615;0.005383799783885479;6.407400360330939e-05
11;0.02955310046672821;0.02700226940214634;0.0012712109601125121;0.008592067286372185;0.006069607567042112;9.106755896937102e-05
12;0.02893226221203804;0.02645913138985634;0.0012328618904575706;0.008239185437560081;0.005819999612867832;6.478975410573184e-05
13;0.02870383858680725;0.02627445198595524;0.0012202347861602902;0.012681741267442703;0.010266270488500595;0.00014587066834792495
14;0.028508048504590988;0.026112770661711693;0.001212015631608665;0.011735673062503338;0.009365473873913288;0.00012609582336153835
15;0.027648480609059334;0.025400599464774132;0.0011677041184157133;0.008467686362564564;0.00631600059568882;7.152527541620657e-05
16;0.027281340211629868;0.02518206275999546;0.0011544092558324337;0.010943283326923847;0.008884666487574577;0.00014683394692838192
17;0.02712244912981987;0.02510620839893818;0.0011475373758003116;0.007862952537834644;0.005883360281586647;8.128378249239177e-05
