epoch;loss;mae;mse;val_loss;val_mae;val_mse
0;0.24773995578289032;0.24543775618076324;0.08047836273908615;0.2456781268119812;0.2456781268119812;0.08022753894329071
1;0.24539631605148315;0.24539631605148315;0.0804494246840477;0.24584956467151642;0.24584956467151642;0.08031813055276871
2;0.24543382227420807;0.24543382227420807;0.08047861605882645;0.24587570130825043;0.24587570130825043;0.08033644407987595
3;0.24545471370220184;0.24545471370220184;0.0804658755660057;0.24570317566394806;0.24570317566394806;0.08023208379745483
4;0.2454008311033249;0.2454008311033249;0.08044399321079254;0.24588130414485931;0.24588130414485931;0.08034026622772217
5;0.24544678628444672;0.24544678628444672;0.08047745376825333;0.24571120738983154;0.24571120738983154;0.08023486286401749
6;0.2454167902469635;0.2454167902469635;0.08044417202472687;0.24585691094398499;0.24585691094398499;0.08032333850860596
7;0.24544143676757812;0.24544143676757812;0.08044690638780594;0.24571549892425537;0.24571549892425537;0.0802365317940712
8;0.24543114006519318;0.24543114006519318;0.08045516908168793;0.2457122504711151;0.2457122504711151;0.08023547381162643
9;0.24542246758937836;0.24542246758937836;0.08044996857643127;0.24578900635242462;0.24578900635242462;0.08027806133031845
10;0.24542567133903503;0.24542567133903503;0.080446258187294;0.2456764578819275;0.2456764578819275;0.08022775501012802
11;0.2454090118408203;0.2454090118408203;0.0804421529173851;0.24567639827728271;0.24567639827728271;0.08022759854793549
12;0.2454150915145874;0.2454150915145874;0.08043096959590912;0.2457021027803421;0.2457021027803421;0.0802316814661026
13;0.24541325867176056;0.24541325867176056;0.08043409883975983;0.24580681324005127;0.24580681324005127;0.08028977364301682
14;0.24539919197559357;0.24539919197559357;0.08042576164007187;0.24572554230690002;0.24572554230690002;0.08024094253778458
15;0.24539586901664734;0.24539586901664734;0.08044068515300751;0.24569205939769745;0.24569205939769745;0.0802290067076683
16;0.24539637565612793;0.24539637565612793;0.08043666929006577;0.24580161273479462;0.24580161273479462;0.08028644323348999
17;0.24541132152080536;0.24541132152080536;0.08042855560779572;0.24583561718463898;0.24583561718463898;0.0803089439868927
18;0.24538873136043549;0.24538873136043549;0.08042768388986588;0.24566106498241425;0.24566106498241425;0.08023365586996078
19;0.24541668593883514;0.24541668593883514;0.08043557405471802;0.24589301645755768;0.24589301645755768;0.08034787327051163
