epoch,loss,mae,val_loss,val_mae
0,3.2585243570402906,2.3917219597098773,1.5809614169643809,0.4062982036557734
1,2.3935300883942694,1.4513078933493886,1.557258018754958,0.404310451199465
2,2.154071916847518,1.1755309620004541,1.467707459941687,0.20879257397851417
3,2.0796530280530092,1.0830536140699016,1.4490310496192904,0.209808450343669
4,2.055397596922369,1.0536488454895445,1.442888220861241,0.17371570116326054
5,2.0578399948907697,1.0564049887086202,1.4422679415453992,0.16356402281917176
6,2.0460948270686945,1.0458353222728412,1.4427459075048708,0.1720306439006122
7,2.0562656231485983,1.0523050993649914,1.442369871677996,0.16659967709015414
8,2.0612556178566233,1.0605978289041011,1.4431903081285038,0.17381486529621876
9,2.052542410959416,1.0517493720207938,1.4425960306015124,0.167794154801028
10,2.0573221994226314,1.0559206357473896,1.4432238443035577,0.17143631723134678
11,2.054291467280567,1.0495943236966265,1.4422328244028457,0.1680052449484941
12,2.057569354312085,1.0553282371994364,1.4456481115024944,0.18309315237309357
13,2.0569106211093104,1.0547703399457444,1.444299046508941,0.1733726795762784
14,2.0521247167511403,1.0479569308402226,1.4427182933307108,0.16598415912001246
15,2.0603503606343705,1.0590055593489904,1.4425391653705988,0.16909263102651467
16,2.070499994237032,1.0700207005596591,1.4411048084472384,0.16856413956668145
17,2.0441684061467353,1.0410392523808534,1.440830134703797,0.16423474552839182
18,2.0546320497263486,1.0522493753097055,1.4409741848191768,0.17062983370484303
19,2.0598769623653608,1.0591889018505731,1.442363055097933,0.17295678485515284
20,2.0562809213442215,1.0551679626460995,1.4434604055337572,0.17355243826696434
21,2.0711779687800043,1.0702542706008278,1.44209624756309,0.17198357423125682
22,2.044478813636588,1.0404482679558342,1.4415765586845253,0.16435203730697767
23,2.0521052450990824,1.0492239529443113,1.441841719507882,0.16693404007940046
24,2.0565211643103063,1.053709154025872,1.442367088988495,0.1664788814404574
25,2.048869326144284,1.0451464239762245,1.441889089984028,0.16475481398193018
26,2.063582788000036,1.0634773007024534,1.4417548568062815,0.16447392412835615
27,2.054834742373942,1.0523078855371943,1.442037633403694,0.17056250627595068
28,2.0477378676811053,1.0464395025007822,1.444429073735655,0.17686756254362682
29,2.0443373715603244,1.042159791126789,1.4457232642918378,0.17299425414948313
30,2.052929398650946,1.052213437580644,1.4435830949627817,0.1805074172599933
31,2.0606438096475146,1.059624001070867,1.441447246715542,0.16155664765538466
32,2.061322030565397,1.0583640084227164,1.4411568118255482,0.1570265903470312
33,2.059923757461975,1.0594285180398424,1.441423657393349,0.15981161354369589
34,2.064590101468088,1.064073990534724,1.4419836206188303,0.16118390594904433
35,2.050407382915275,1.0474441338178613,1.4424039690426889,0.16733427717388075
36,2.05796779700214,1.0554842302435996,1.4439610839085673,0.17313321910964022
37,2.052080159508175,1.04751918729394,1.44185169210587,0.1673583521876271
38,2.06030099648634,1.0582687472539427,1.4400394171083737,0.1642559838134978
39,2.057799575858405,1.0546102071076429,1.4412204845995753,0.1658025616358239
40,2.0525057964535587,1.049095723648487,1.4422146084356235,0.17206576226560918
41,2.054468676388768,1.051059793083474,1.4453396450743983,0.17198313593861753
42,2.06144764353942,1.05809649636795,1.4417259904010922,0.15808544137422215
43,2.0523592190805626,1.048342559045586,1.4392009533430905,0.16088427405601533
44,2.0594201005805677,1.0581704224419637,1.4420301628869636,0.16915641175891857
45,2.0551371625793173,1.0522601335871289,1.443789584463359,0.15684240098679278
46,2.05710173434467,1.0556217127404026,1.4425632183779782,0.16990883586435124
47,2.0597929325465345,1.0577599712334722,1.443418402268156,0.1664579833228076
48,2.0553459907375924,1.0534375242567204,1.4417818094482355,0.16710929598799074
49,2.0545989639574618,1.0518136788026755,1.441884496012731,0.16181308431149147
50,2.053877624913824,1.0498528959703337,1.4428948654534979,0.1664513761705364
51,2.0497661637763125,1.0465121208843429,1.4440881038268873,0.17494097246068036
52,2.0619894411326047,1.0610415069098353,1.4426331723476722,0.1709322292170067
53,2.048915510238926,1.0464151749545405,1.4417267663336524,0.15886360683680714
54,2.0613597992627324,1.0573294718732444,1.4417226701159565,0.1632950310028297
55,2.0481147988973696,1.045698781575906,1.440805633363833,0.16415713877439164
56,2.060171294670702,1.0571993975948315,1.4408752600934136,0.1680050694963338
57,2.0650482021859293,1.0654979859033469,1.4431885325058953,0.16769201968430042
