Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference
1,9.999999747378752e-05,0.24772483110427856,0.24580170214176178,0.0019231289625167847
2,9.999999747378752e-05,0.24541687965393066,0.24568051099777222,-0.00026363134384155273
3,9.999999747378752e-05,0.24542982876300812,0.245697021484375,-0.0002671927213668823
4,9.999999747378752e-05,0.2454175502061844,0.24566122889518738,-0.00024367868900299072
5,9.999999747378752e-05,0.24543213844299316,0.24566584825515747,-0.00023370981216430664
6,9.999999747378752e-05,0.24545198678970337,0.24574783444404602,-0.00029584765434265137
7,9.999999747378752e-05,0.24544361233711243,0.2460019588470459,-0.0005583465099334717
8,9.999999747378752e-05,0.24544818699359894,0.24591661989688873,-0.0004684329032897949
9,9.999999747378752e-05,0.245421901345253,0.24574100971221924,-0.00031910836696624756
10,9.999999747378752e-05,0.24543127417564392,0.24569648504257202,-0.0002652108669281006
11,9.999999747378752e-05,0.2454162985086441,0.2457824945449829,-0.00036619603633880615
12,9.999999747378752e-05,0.24542377889156342,0.2459108829498291,-0.00048710405826568604
13,9.999999747378752e-05,0.2454097419977188,0.24568332731723785,-0.00027358531951904297
14,9.999999747378752e-05,0.24541889131069183,0.24577321112155914,-0.00035431981086730957
15,9.999999747378752e-05,0.24537472426891327,0.24575763940811157,-0.0003829151391983032
16,9.999999747378752e-05,0.24541208148002625,0.24582961201667786,-0.00041753053665161133
17,9.999999747378752e-05,0.24537360668182373,0.24566489458084106,-0.000291287899017334
18,9.999999747378752e-05,0.24540850520133972,0.24602505564689636,-0.0006165504455566406
19,9.999999747378752e-05,0.2454337328672409,0.24571135640144348,-0.0002776235342025757
20,9.999999747378752e-05,0.2454046905040741,0.24575024843215942,-0.00034555792808532715
21,9.999999747378752e-05,0.24539640545845032,0.24568134546279907,-0.0002849400043487549
22,9.999999747378752e-05,0.24540647864341736,0.24602831900119781,-0.0006218403577804565
23,9.999999747378752e-05,0.24541132152080536,0.2456987500190735,-0.00028742849826812744
24,9.999999747378752e-05,0.24537613987922668,0.24603666365146637,-0.0006605237722396851
25,9.999999747378752e-05,0.24541528522968292,0.24590939283370972,-0.0004941076040267944
26,9.999999747378752e-05,0.2454124391078949,0.2457914501428604,-0.00037901103496551514
27,9.999999747378752e-05,0.2454128861427307,0.2457544505596161,-0.000341564416885376
28,9.999999747378752e-05,0.24539558589458466,0.2456696480512619,-0.0002740621566772461
29,9.999999747378752e-05,0.2453845739364624,0.24595516920089722,-0.0005705952644348145
30,9.999999747378752e-05,0.24541693925857544,0.24575890600681305,-0.00034196674823760986
