epoch;loss;mae;mse;val_loss;val_mae;val_mse
0;0.6914299130439758;0.5032240152359009;0.6689066290855408;0.24057427048683167;0.05667118728160858;0.004974831361323595
1;0.3522416651248932;0.17362336814403534;0.17151078581809998;0.2038576751947403;0.031284309923648834;0.0022712084464728832
2;0.26419585943222046;0.09954249113798141;0.07544780522584915;0.19386714696884155;0.03836449235677719;0.002689807442948222
3;0.21753542125225067;0.07385057210922241;0.03787166625261307;0.1585162878036499;0.028077898547053337;0.001488003064878285
4;0.1753644347190857;0.06045375019311905;0.020367031916975975;0.11614581942558289;0.017519759014248848;0.0006100397440604866
5;0.13491632044315338;0.05274450406432152;0.012444848194718361;0.08843768388032913;0.02216537855565548;0.000941471429541707
6;0.10036364197731018;0.047471027821302414;0.007870422676205635;0.06158701702952385;0.020375370979309082;0.0006824575248174369
7;0.07622775435447693;0.0433732271194458;0.005453264340758324;0.03651197627186775;0.010602741502225399;0.00022258301032707095
8;0.06135498732328415;0.04017828777432442;0.003919989336282015;0.0373268648982048;0.02004925347864628;0.0006898844731040299
9;0.052172500640153885;0.037628449499607086;0.003019611584022641;0.02739279717206955;0.01511464361101389;0.00028889873647131026
10;0.0456901453435421;0.03512880206108093;0.0023518747184425592;0.04099953919649124;0.031936388462781906;0.001683698850683868
11;0.04102056100964546;0.03314046934247017;0.0019198412774130702;0.01476618368178606;0.007973144762217999;7.902947254478931e-05
12;0.03801994025707245;0.03213803842663765;0.0017608731286600232;0.05772192403674126;0.052675288170576096;0.0037607215344905853
13;0.03619525209069252;0.031826186925172806;0.001706411479972303;0.021965956315398216;0.018199555575847626;0.0004007919051218778
14;0.034201666712760925;0.030899157747626305;0.0016176841454580426;0.038372620940208435;0.03548192232847214;0.0016789293149486184
15;0.03318319469690323;0.03058934397995472;0.001574310357682407;0.009555205702781677;0.0072320373728871346;7.444532093359157e-05
16;0.032633908092975616;0.030516386032104492;0.0015674663009122014;0.019786402583122253;0.017846763134002686;0.00048245792277157307
17;0.03236342594027519;0.030552705749869347;0.0015600223559886217;0.039106667041778564;0.037416744977235794;0.0019034959841519594
18;0.031661875545978546;0.030067209154367447;0.0015015919925644994;0.012383205816149712;0.010868020355701447;0.00016218170640058815
19;0.030966760590672493;0.029532650485634804;0.0014612090308219194;0.0609753355383873;0.05961185693740845;0.004788905382156372
0;0.6436872482299805;0.45450258255004883;0.6851450204849243;0.23184774816036224;0.04639754816889763;0.003668694756925106
1;0.3394981920719147;0.15978869795799255;0.17840906977653503;0.21956846117973328;0.046774305403232574;0.003741559339687228
2;0.2650531530380249;0.10172700881958008;0.0852910652756691;0.19060586392879486;0.03817237913608551;0.00242529041133821
3;0.2153945118188858;0.07644284516572952;0.04196299985051155;0.1623925268650055;0.03809255361557007;0.002415973925963044
4;0.17166674137115479;0.0631638690829277;0.024210717529058456;0.12983587384223938;0.037557099014520645;0.0021987087093293667
5;0.1317811906337738;0.0552142858505249;0.014712728559970856;0.09994623064994812;0.03819126635789871;0.002451262203976512
6;0.0989011824131012;0.04904811456799507;0.009264170192182064;0.06651561707258224;0.027117518708109856;0.0013485675444826484
7;0.07698287069797516;0.04507463052868843;0.0063959332183003426;0.046378422528505325;0.02066762186586857;0.0007326757768169045
8;0.06329692900180817;0.041827861219644547;0.0045388066209852695;0.04545487463474274;0.027536718174815178;0.0010712913936004043
