epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-06,0.02688097395002842,9.684848191682249e-05,0.019464731216430664,0.00013961197691969573
1,3.999999989900971e-06,0.01710803434252739,5.12771075591445e-05,0.014875330962240696,3.9121066947700456e-05
2,2.4000000848900527e-06,0.01366172544658184,4.23286619479768e-05,0.012493113987147808,4.145848288317211e-05
3,1.9200001588615123e-06,0.011628897860646248,3.809673944488168e-05,0.010794747620821,7.933860615594313e-05
4,1.9200001588615123e-06,0.010024663992226124,3.748874951270409e-05,0.009284389205276966,4.119524601264857e-05
5,1.9200001588615123e-06,0.008603835478425026,3.7304398574633524e-05,0.00795078370720148,5.2941199101042e-05
6,1.919995384014328e-06,0.007352437358349562,3.638487760326825e-05,0.00677915895357728,3.2842170185176656e-05
7,1.9199762846255908e-06,0.0062554883770644665,3.793864379986189e-05,0.005754523444920778,4.360538150649518e-05
8,1.919933311000932e-06,0.005298599135130644,3.710817691171542e-05,0.004863199312239885,3.266463681939058e-05
9,1.9198566860723076e-06,0.004468112718313932,3.5306020436109975e-05,0.004091509152203798,3.1432842661160976e-05
10,1.9197370875190245e-06,0.003751155221834779,3.230326547054574e-05,0.0034272714983671904,2.4551782189519145e-05
11,1.9195647382730385e-06,0.003135734936222434,3.281923636677675e-05,0.0028591167647391558,5.714252620236948e-05
12,1.9193303160136566e-06,0.002610738156363368,3.201864456059411e-05,0.00237533962354064,2.5560273570590653e-05
13,1.91902427104651e-06,0.0021651668939739466,3.242577440687455e-05,0.0019663681741803885,2.601111918920651e-05
14,1.9186368263035547e-06,0.0017896781209856272,3.2018851925386116e-05,0.0016229149186983705,3.086059950874187e-05
15,1.9181586594640976e-06,0.0014751576818525791,3.0456738386419602e-05,0.001336098532192409,4.009552867501043e-05
16,1.91758022083377e-06,0.0012134602293372154,3.0229635740397498e-05,0.0010982740204781294,4.642981002689339e-05
17,1.9168921880918788e-06,0.0009971027029678226,2.9535352950915694e-05,0.0009022954618558288,3.085310527239926e-05
18,1.9160850115440553e-06,0.000819348031654954,2.9632050427608192e-05,0.000741699303034693,2.5277247914345935e-05
19,1.915149141495931e-06,0.0006740645039826632,2.900838626374025e-05,0.0006108045345172286,3.470684532658197e-05
20,1.914075483000488e-06,0.000555798935238272,2.8617161660804413e-05,0.000504443421959877,1.959973269549664e-05
21,1.912854486363358e-06,0.00045975559623911977,2.872870391001925e-05,0.00041798746678978205,5.1254795835120603e-05
22,1.9114770566375228e-06,0.00038163422141224146,2.9056134735583328e-05,0.0003476115525700152,6.99646698194556e-05
23,1.9099338715022895e-06,0.00031786103500053287,3.082110924879089e-05,0.0002899435057770461,2.8912863854202442e-05
24,1.908216063384316e-06,0.00026538388920016587,3.270334127591923e-05,0.000242292633629404,5.297447205521166e-05
25,1.9063144236497465e-06,0.0002218254521721974,3.484200715320185e-05,0.0002024966961471364,3.573344292817637e-05
26,1.9042199710384011e-06,0.00018530913803260773,3.557262243703008e-05,0.00016904587391763926,3.0159200832713395e-05
27,1.9019239516637754e-06,0.00015455226821359247,3.738722807611339e-05,0.00014083916903473437,3.8305468478938565e-05
28,1.899417497952527e-06,0.0001286183687625453,3.707388896145858e-05,0.00011706873920047656,5.851440437254496e-05
29,1.8966920833918266e-06,0.00010680263221729547,3.7255937058944255e-05,9.711084567243233e-05,5.1675022405106574e-05
30,1.8937391814688453e-06,8.852361497702077e-05,3.7909481761744246e-05,8.04237206466496e-05,6.64049803162925e-05
