epoch;loss;mse;val_loss;val_mse
0;0.0013659645337611437;0.0026698100846260786;0.00025010688113979995;0.0004386991204228252
1;0.00047303413157351315;0.0008850868325680494;0.00024857622338458896;0.0004366080684121698
2;0.0004263774026185274;0.0007923690718598664;0.00019674371287692338;0.00033319037174806
3;0.00035457624471746385;0.0006496325950138271;0.00015489007637370378;0.0002512407081667334
4;0.0003186999529134482;0.0005803999956697226;0.00020884010882582515;0.00036229752004146576
5;0.0002953816729132086;0.0005366974510252476;0.0001590977917658165;0.0002654736745171249
6;0.00023448930005542934;0.00041709953802637756;0.00012079490988980979;0.00019054448057431728
7;0.00022828033252153546;0.00040627678390592337;0.00011863175313919783;0.00018771972099784762
8;0.00022118054039310664;0.00039350357837975025;0.00011809671559603885;0.0001879997580545023
9;0.00021608854876831174;0.0003846038889605552;0.00013021194899920374;0.0002134288806701079
10;0.00021403511345852166;0.0003816228127107024;0.00011878489749506116;0.00019164917466696352
11;0.0002096430689562112;0.00037386544863693416;0.00011624515173025429;0.0001875547895906493
12;0.0001970237644854933;0.0003492342948447913;0.00011733763676602393;0.00018998551240656525
13;0.00019535519822966307;0.0003461399464868009;0.00011542839638423175;0.00018640499911271036
14;0.0001940294459927827;0.00034372860682196915;0.00011404257384128869;0.00018387501768302172
15;0.0001938223431352526;0.00034355040406808257;0.00011361657379893586;0.00018325283599551767
16;0.00019226739823352545;0.0003406670002732426;0.0001143404733738862;0.00018492898379918188
17;0.0001889644772745669;0.00033420021645724773;0.00011382793309167027;0.00018395102233625948
18;0.0001881086063804105;0.0003325372817926109;0.00011354310117894784;0.0001834305003285408
19;0.0001876752940006554;0.0003317194350529462;0.00011361263750586659;0.0001836186129366979
20;0.00018730467127170414;0.0003310268511995673;0.0001133376790676266;0.00018311681924387813
21;0.00018794304924085736;0.0003323513956274837;0.00011329906556056812;0.00018308714788872749
22;0.00018744134285952896;0.00033137801801785827;0.00011357178300386295;0.00018364454444963485
23;0.00018677947809919715;0.00033006578451022506;0.00011345748498570174;0.00018342805560678244
24;0.00018743950931821018;0.0003313981869723648;0.00011330121196806431;0.00018312723841518164
25;0.0001860851189121604;0.0003287016588728875;0.00011349567648721859;0.0001835286821005866
26;0.00018692502635531127;0.00033039331901818514;0.00011340403580106795;0.00018335712957195938
27;0.0001868217223091051;0.0003301985561847687;0.0001135515485657379;0.00018366424774285406
28;0.00018638222536537796;0.0003293326299171895;0.00011346259998390451;0.00018349853053223342
29;0.00018630399426911026;0.00032918647048063576;0.00011337058094795793;0.00018332662875764072
30;0.00018602890486363322;0.00032864915556274354;0.00011348492989782244;0.00018356749205850065
31;0.00018630627891980112;0.0003292160399723798;0.00011331436689943075;0.0001832380221458152
