epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.027762170881032944;0.02616627886891365;0.001592096290551126;4.001108209195081e-06
1;0.0014335224404931068;2.1593215933535248e-05;0.0011096397647634149;6.334509635053109e-06
2;0.0008037855150178075;7.869764885981567e-06;0.0005402681999839842;1.7394570477335947e-06
3;0.0003667233686428517;4.945725777361076e-06;0.00022247404558584094;1.2353689271549229e-06
4;0.00013951952860224992;3.3472813356638653e-06;7.329337677219883e-05;8.026246973713569e-07
5;4.393820199766196e-05;2.4824041702231625e-06;2.0824074454139918e-05;5.853232210029091e-07
6;1.366320520901354e-05;2.008848923651385e-06;6.706764906994067e-06;4.5618642730005377e-07
7;5.785409484815318e-06;1.7476982066000346e-06;2.994207989104325e-06;4.3201077915000496e-07
8;3.4593394957482815e-06;1.586315534041205e-06;1.7806015648602624e-06;4.087598881596932e-07
9;2.5783660930756014e-06;1.4841918982710922e-06;1.3230228432803415e-06;4.3171445440748357e-07
10;2.2808687845099485e-06;1.424923993909033e-06;1.0357526889492874e-06;2.126881639696876e-07
11;2.200171593358391e-06;1.4090422837398364e-06;1.0213339010078926e-06;2.6178943812738e-07
12;2.1366881810536142e-06;1.4019694845046615e-06;9.256262387680181e-07;2.1434891550597968e-07
13;2.077893668683828e-06;1.3880311371394782e-06;9.022764970723074e-07;2.3360449574738595e-07
14;2.0259330995031632e-06;1.3765657058684155e-06;8.369196393687162e-07;2.061755139948218e-07
15;1.9829860775644192e-06;1.3607403843707289e-06;8.448424750895356e-07;2.3201879173484485e-07
16;1.964624516404001e-06;1.3607336768473033e-06;7.770315733068855e-07;1.8075037644393888e-07
17;1.9414862890698714e-06;1.3530618616641732e-06;7.886190473982424e-07;2.0789326526937657e-07
18;1.916587052619434e-06;1.3436919061859953e-06;7.5175501024205e-07;1.8624237441144942e-07
19;1.8962621197715634e-06;1.3375531580095412e-06;7.634509415765933e-07;2.1252574811114755e-07
20;1.8803050352289574e-06;1.3362373465497512e-06;7.650705242667755e-07;2.2771479279981577e-07
21;1.8613374095366453e-06;1.3295033340909868e-06;7.12084045062511e-07;1.856895153196092e-07
22;1.832948896662856e-06;1.313416646553378e-06;7.227037599477626e-07;2.104769833977116e-07
23;1.82396854597755e-06;1.3182419706936344e-06;6.924881859049492e-07;1.9336951595505525e-07
