epoch;loss;mae;val_loss;val_mae
0;0.25553685426712036;0.04862656071782112;0.10216302424669266;0.006644911598414183
1;0.03985362499952316;0.030141528695821762;0.007540548220276833;0.008927552960813046
2;0.004919544328004122;0.026764944195747375;0.002059120684862137;0.0076903910376131535
3;0.0027049239724874496;0.025168105959892273;0.0011527871247380972;0.004410430323332548
4;0.002043623011559248;0.024346761405467987;0.0014167692279443145;0.02594858594238758
5;0.0017003904795274138;0.023638959974050522;0.002263180911540985;0.041340362280607224
6;0.0015150848776102066;0.023250002413988113;0.0005243387422524393;0.009331903420388699
7;0.0014109465992078185;0.022957468405365944;0.00039611977990716696;0.004516545217484236
8;0.0013571458403021097;0.02286338433623314;0.000426554266596213;0.0075071873143315315
9;0.0013051615096628666;0.02261023037135601;0.00037384219467639923;0.006160954479128122
10;0.0012498789001256227;0.022235866636037827;0.000344074476743117;0.006126423832029104
11;0.0012040474684908986;0.021947650238871574;0.0003642833326011896;0.0089735621586442
12;0.0011645617196336389;0.021686967462301254;0.0002833894395735115;0.0037044689524918795
13;0.0011347690597176552;0.021474400535225868;0.00026227618218399584;0.0029338498134166002
14;0.0011218880536034703;0.021470941603183746;0.0008067777380347252;0.02340305596590042
15;0.0010857221204787493;0.021144036203622818;0.000254317419603467;0.0037788276094943285
16;0.0010340290609747171;0.020633604377508163;0.0002526619646232575;0.004580962471663952
17;0.0010041274363175035;0.02033674344420433;0.00024898347328417003;0.004126354586333036
18;0.0008676471770741045;0.019022803753614426;0.00019200945098418742;0.0033741211518645287
19;0.0008447743603028357;0.01891012117266655;0.00020370491256471723;0.005062947515398264
20;0.0008169955108314753;0.01862417906522751;0.00022928738326299936;0.0069421278312802315
21;0.000802439812105149;0.01848505809903145;0.00019931717542931437;0.005427147261798382
22;0.0007972244638949633;0.018448587507009506;0.00018593341519590467;0.004840093664824963
23;0.0007318974821828306;0.017669832333922386;0.00018227516557089984;0.005687550641596317
24;0.0007176029030233622;0.017599141225218773;0.00018379649554844946;0.006079072132706642
25;0.0007135922787711024;0.01757270283997059;0.00016676212544552982;0.0051927524618804455
26;0.0007068150443956256;0.01750396005809307;0.00016878388123586774;0.005502812564373016
27;0.0007069481653161347;0.017541544511914253;0.00018504683976061642;0.006610777694731951
28;0.0007012893911451101;0.017466111108660698;0.00015537066792603582;0.004831482190638781
29;0.0006678157369606197;0.017017429694533348;0.00017139084229711443;0.0063119749538600445
30;0.0006587705574929714;0.016940876841545105;0.00016048020916059613;0.005842175800353289
31;0.0006589062977582216;0.01694529503583908;0.00016411222168244421;0.006149164866656065
32;0.0006516614812426269;0.016891969367861748;0.00014398834900930524;0.004966363310813904
33;0.0006538195302709937;0.016922682523727417;0.00015035316755529493;0.005436619743704796
34;0.0006297585787251592;0.01657908968627453;0.00015323048864956945;0.005789637565612793
35;0.0006297650397755206;0.016592759639024734;0.00015691117732785642;0.006123979110270739
36;0.0006276490166783333;0.016572145745158195;0.00014485159772448242;0.005412191618233919
37;0.0006285153795033693;0.016581322997808456;0.00016193912597373128;0.006520179565995932
38;0.0006230231374502182;0.016524765640497208;0.00014561571879312396;0.0055740587413311005
39;0.0006165739032439888;0.01642010547220707;0.00013351892994251102;0.004764735233038664
40;0.0006126548978500068;0.01636054925620556;0.0001441056519979611;0.005565140396356583
41;0.0006127122323960066;0.016374671831727028;0.00014693661069031805;0.005772899836301804
42;0.0006103941123001277;0.016340745612978935;0.00013936242612544447;0.005305251572281122
43;0.0006115279393270612;0.01636039838194847;0.0001398923632223159;0.005369102582335472
44;0.0006065560155548155;0.016274362802505493;0.00014273147098720074;0.005580333061516285
45;0.0006051110103726387;0.016244813799858093;0.00014244600606616586;0.0055834040977060795
46;0.0006025424809195101;0.016221685335040092;0.00014240680320654064;0.005596802569925785
47;0.0006030055228620768;0.01624158024787903;0.0001477957412134856;0.005960666108876467
