epoch,loss,mae,root_mean_squared_error,val_loss,val_mae,val_root_mean_squared_error
0,0.006370542773767787,0.16319336832567138,0.3711114279930724,0.001515372337930979,0.01585242672540515,0.02437569129186442
1,0.0012431468709905226,0.014084245073509973,0.022431023289902482,0.0010095835197528886,0.012219141561290196,0.0215626433520902
2,0.0008309853738098143,0.012555224606747689,0.020521876505968675,0.0006537335862260371,0.009379217669464117,0.01941551767091247
3,0.0005416393109707288,0.011893474854074158,0.019711996000187346,0.00041237679703192836,0.009143955690150541,0.01851153309010217
4,0.0003504017226730071,0.011502982038846385,0.019219604950926537,0.0002858364622619313,0.012787344437953615,0.0191224179891333
5,0.00023823272061349336,0.011068563851573428,0.0186780417796266,0.0001913420151866759,0.010354121158585503,0.017708225395369363
6,0.00018285847122817092,0.010771524610363136,0.01832135156458507,0.00015307656068233529,0.010147168642845093,0.017169970473775418
7,0.00015247128251430085,0.010249429464677351,0.017649831868508485,0.00013248154881775954,0.010551278704580365,0.016561280200208903
8,0.00013758860703014984,0.009897049443085837,0.01716679064699632,0.00012542278736087434,0.008348930272993263,0.01661901486757477
9,0.00012997003516475536,0.009697378978202853,0.016825313681619002,0.00012181106683977993,0.008401895373550315,0.01659154473928033
10,0.00012890538425564666,0.009764444586608197,0.0168811086322454,0.0001572079591638591,0.009801517070488033,0.019499462398175193
11,0.00012525305334675518,0.009561438974742065,0.016658470532357944,0.00012439494370171064,0.010008517794007115,0.016787571009618033
12,0.00012666180137298338,0.009664106453794175,0.0167787020483031,0.00011706041768851577,0.008286527831958318,0.0161976428669602
13,0.00012334684075210222,0.009464109940109534,0.016535024610626153,0.00013357113787857626,0.009406342706363069,0.017691071602087372
14,0.00012263728922260985,0.009388015215233586,0.016480088969969334,0.00012276327308844426,0.009141898504712274,0.016515523924383067
15,0.00012055007632067807,0.009300283433280541,0.016344565605381826,0.00012834692028230977,0.009275145153829845,0.017267292995881884
16,0.00011957658532840716,0.0092202278092395,0.01627364826391678,0.00010969544192974368,0.009157659592799088,0.0154556958493803
17,0.00011942551661966492,0.009216034340645045,0.01627372288402019,0.0001129814116341812,0.0083734073996411,0.016008549001110053
18,0.00011782270824492307,0.009139284881659307,0.016128527406050797,0.00011709320632032424,0.009108218167433013,0.016020230357850468
19,0.00011856462199113866,0.009186112071343453,0.016220639887660992,0.0001348862352833366,0.007995866976517562,0.01796606524603822
20,0.00011670893809361197,0.009089457557509527,0.0160720306710235,0.00012195619773484734,0.008919710890114445,0.01660272881166888
21,0.00011639448093622852,0.009078946604134367,0.01604964870349838,0.00011211425271812073,0.009950113759513102,0.015617915191702733
22,0.00011631234953869768,0.00909654318023229,0.016034334544371167,0.00012734797793723007,0.007766595308947589,0.017365581399831593
23,0.00011664803890987025,0.009080775919466152,0.016034118776513447,0.00011925345948125414,0.008270244831920175,0.01657533528681401
24,0.00011637895045133317,0.009078595862528507,0.016045672674164572,0.0001149078647932729,0.007914708176005389,0.01624513911373653
25,0.00011526175318746127,0.009017902481498566,0.015958955968252562,0.00012274676608787821,0.011135366475668474,0.016477473625365585
26,0.00011509521247199622,0.00903335136263999,0.015957430697065345,0.00014071706527116006,0.008303360821506805,0.018514751151642247
27,0.00011439556797654902,0.009030510811759197,0.015922951932157033,0.00012632008650038723,0.007596809226868219,0.01737460667415469
28,0.00011390720808096266,0.008998161986217319,0.015866189715658688,0.00011364605100617993,0.009618140805112056,0.01590520544751558
29,0.00011337863418133349,0.00893782157851663,0.01583358025307208,0.0001588071389568489,0.00875155881054092,0.020086996442500907
30,0.00011471207389874136,0.009033723995299996,0.01593344955874659,0.0001723268574258152,0.009215858741554046,0.021029840318213606
31,0.00011341909218272947,0.00894802456765478,0.01583789112119028,0.00011050481757746939,0.008962352017211217,0.015729880807137508
32,0.00011189099530137856,0.00888811568490403,0.015747720351192034,0.00011376250026909335,0.008658834073231422,0.016031120090487776
