epoch;loss;mae;val_loss;val_mae
0;134632.765625;328.6031494140625;13714.2607421875;111.46119689941406
1;1444.498291015625;25.48527717590332;760.4631958007812;24.32789421081543
2;232.2208709716797;11.618011474609375;239.6541290283203;14.889763832092285
3;126.9764404296875;8.520561218261719;736.759765625;25.024877548217773
4;113.06888580322266;7.94952917098999;414.4388427734375;16.89912223815918
5;96.1756591796875;7.325404644012451;343.1645812988281;16.015480041503906
6;71.77117156982422;6.3672590255737305;37.69511032104492;5.159598350524902
7;55.54336166381836;5.526729583740234;16.752052307128906;3.0455901622772217
8;53.149635314941406;5.421370983123779;96.97679901123047;8.878910064697266
9;46.099605560302734;5.024349212646484;144.76792907714844;9.643380165100098
10;46.9169921875;4.988944053649902;66.82857513427734;7.212949752807617
11;37.92925262451172;4.5059895515441895;136.43362426757812;9.383851051330566
12;34.50305938720703;4.253554344177246;135.80027770996094;9.554996490478516
13;22.015277862548828;3.248971700668335;40.725589752197266;5.134139537811279
14;21.517566680908203;3.1851119995117188;39.005863189697266;5.11137056350708
15;19.350893020629883;3.0081374645233154;65.67676544189453;6.619572162628174
16;19.99286460876465;3.100339651107788;41.5008430480957;5.611410617828369
17;20.17816734313965;3.116607666015625;58.84813690185547;6.349130630493164
