epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.0008297145832329988;0.0004916794132441282;2.1003813799325144e-06;1.3452056464302586e-06
1;3.4925074032798875e-06;2.9412944968498778e-06;7.41338453735807e-07;2.624543640195043e-07
2;2.333483962502214e-06;1.9392200556467287e-06;1.4545711337632383e-06;1.09697941752529e-06
3;1.8997591268998804e-06;1.54006181674049e-06;8.604211529927852e-07;5.330693966243416e-07
4;1.7407782024747576e-06;1.4021279639564455e-06;9.553834843245568e-07;6.38486767456925e-07
5;1.647937438065128e-06;1.3146980109013384e-06;8.634084451841773e-07;5.276526735542575e-07
6;1.1705401448125485e-06;9.448672244616318e-07;5.953599497843243e-07;3.7670790220545314e-07
7;1.1252179774601245e-06;9.118668913288275e-07;4.741375221328781e-07;2.70694584969533e-07
8;1.1098918548668735e-06;9.04793523659464e-07;6.685166340503201e-07;4.6524240815415396e-07
9;1.095124162020511e-06;8.924592407311138e-07;5.508711069523997e-07;3.5247961704953923e-07
10;1.0781556056826958e-06;8.806378559711447e-07;6.291039085226657e-07;4.3440218178147916e-07
11;9.005360652736272e-07;7.26261816907936e-07;6.023234391250298e-07;4.340821533332928e-07
12;8.837747031975596e-07;7.202588676591404e-07;5.785119583379128e-07;4.190602567177848e-07
13;8.715392709746084e-07;7.144330993469339e-07;6.362861313391477e-07;4.835920890400303e-07
14;8.674725791024684e-07;7.146217626541329e-07;6.301796702246065e-07;4.800933766091475e-07
0;0.0009844122687354684;0.0006069398368708789;2.1659445792465704e-06;4.085655405106081e-07
1;4.447012997843558e-06;2.8948211365786847e-06;1.8304003788216505e-06;3.8856626360939117e-07
2;3.840760200546356e-06;2.4847090571711306e-06;1.719258762022946e-06;4.229853800552519e-07
3;3.430827746342402e-06;2.2060369246901246e-06;1.7239815406355774e-06;5.210760036788997e-07
4;3.1239449072018033e-06;1.9921365037589567e-06;1.3919488992542028e-06;3.3343840755151177e-07
5;2.929911261162488e-06;1.8604745264383382e-06;1.4736813227500534e-06;4.475752746202488e-07
6;1.8744924545899266e-06;1.5050691217766143e-06;4.914653572996031e-07;1.417687229832154e-07
7;1.83963004474208e-06;1.4893421393935569e-06;5.262084528112609e-07;1.769584656585721e-07
8;1.8213245311926585e-06;1.4759709756617667e-06;8.994322229227691e-07;5.510288474397385e-07
9;1.8047928733722074e-06;1.4626203892476042e-06;5.285037900648604e-07;1.9168111009548738e-07
10;1.7961756384465843e-06;1.4566223853762494e-06;4.760123886171641e-07;1.4389134150860627e-07
