epoch;loss;scaled_mae;val_loss;val_scaled_mae
0;1.8581376932296674;0.4498377441173243;1.1165060223398091;0.45108779123385967
1;1.0476526583143828;0.44982304156365915;1.016098174511919;0.45108779123385967
2;1.0080934582977856;0.4498369476098226;1.0034650257562234;0.45108779123385967
3;1.0018356084469726;0.449828484656355;1.0008189595845354;0.45108779123385967
4;1.0004200801897913;0.44982298685353195;1.00016769231327;0.45108779123385967
5;1.000074696622637;0.4498217569301047;1.0000201234796995;0.45108779123385967
6;1.0000061193782344;0.4498298081755671;1.000000422594264;0.45108779123385967
7;1.000000067528208;0.4498320683701604;1.0000000000543294;0.45108779123385967
8;1.000000000003677;0.4498409406364007;1.0;0.45108779123385967
9;1.0;0.4498247357648964;1.0;0.45108779123385967
10;1.0;0.4498240923798288;1.0;0.45108779123385967
0;1.000490490774619;0.44983496446649635;1.000000106736341;0.45111234802116607
1;1.0000001333395228;0.4498330951544236;1.0000001923732562;0.4511139073277874
2;1.0000002811131727;0.4498389903567654;1.0000004009913048;0.4511112874510801
3;1.0000005248589297;0.44983980208658836;1.0000006579075427;0.4511157034255932
4;1.0000008886898677;0.44983864711586985;1.000001093625352;0.451114265846686
5;1.000001359321567;0.4498328858683185;1.0000016221461774;0.45111362176344333
6;1.0000000100400868;0.449833536370769;1.0;0.4511141463078907
7;1.0000000110484364;0.44985029719806024;1.000000050213368;0.4511141463078907
