Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference
1,9.999999747378752e-05,0.746223509311676,0.08301733434200287,0.6632061749696732
2,9.999999747378752e-05,0.0790364220738411,0.05590154603123665,0.023134876042604446
3,9.999999747378752e-05,0.07055523246526718,0.06907165050506592,0.0014835819602012634
4,9.999999747378752e-05,0.06869499385356903,0.02266913838684559,0.04602585546672344
5,9.999999747378752e-05,0.0683092400431633,0.02007436938583851,0.04823487065732479
6,9.999999747378752e-05,0.06779542565345764,0.05653318017721176,0.01126224547624588
7,9.999999747378752e-05,0.06774314492940903,0.019591817632317543,0.048151327297091484
8,9.999999747378752e-05,0.06739524751901627,0.025961797684431076,0.04143344983458519
9,9.999999747378752e-05,0.06717608124017715,0.022878874093294144,0.04429720714688301
10,9.000000136438757e-05,0.06665460020303726,0.01136030349880457,0.05529429670423269
11,9.000000136438757e-05,0.06616739928722382,0.030102379620075226,0.03606501966714859
12,9.000000136438757e-05,0.0659254640340805,0.04969887062907219,0.016226593405008316
13,9.000000136438757e-05,0.06650818139314651,0.03002469427883625,0.036483487114310265
14,9.000000136438757e-05,0.06611014902591705,0.016430767253041267,0.049679381772875786
15,4.5000000682193786e-05,0.06571834534406662,0.04011281579732895,0.02560552954673767
16,4.5000000682193786e-05,0.0636792778968811,0.013091200031340122,0.05058807786554098
17,4.5000000682193786e-05,0.06352371722459793,0.009863951243460178,0.05365976598113775
18,4.5000000682193786e-05,0.06301901489496231,0.023053336888551712,0.0399656780064106
19,4.5000000682193786e-05,0.06351230293512344,0.04629054293036461,0.017221760004758835
20,4.0499999158782884e-05,0.06296467781066895,0.009906964376568794,0.05305771343410015
21,4.0499999158782884e-05,0.0631565973162651,0.01356705091893673,0.04958954639732838
22,2.0249999579391442e-05,0.0633629858493805,0.009970062412321568,0.053392923437058926
23,2.0249999579391442e-05,0.06172887235879898,0.016863806173205376,0.044865066185593605
24,2.0249999579391442e-05,0.06140662357211113,0.010386105626821518,0.05102051794528961
25,2.0249999579391442e-05,0.061992499977350235,0.008435126394033432,0.0535573735833168
26,2.0249999579391442e-05,0.061366863548755646,0.024630092084407806,0.03673677146434784
27,2.0249999579391442e-05,0.062032874673604965,0.017927782610058784,0.04410509206354618
28,2.0249999579391442e-05,0.0613396093249321,0.014853151515126228,0.04648645780980587
29,2.0249999579391442e-05,0.062039051204919815,0.009805268608033657,0.05223378259688616
30,9.1125002654735e-06,0.061575185507535934,0.0249287448823452,0.036646440625190735
31,9.1125002654735e-06,0.06087541952729225,0.01176721602678299,0.04910820350050926
32,9.1125002654735e-06,0.060454413294792175,0.009357997216284275,0.0510964160785079
33,9.1125002654735e-06,0.06077776849269867,0.011132614687085152,0.04964515380561352
