Epoch,Train Loss,Val Loss,Learning Rate
1,0.003719119483053688,0.0004539097417937592,0.01
2,0.002549381366520117,0.0005235838075308129,0.01
3,0.0023537046324230656,0.0009341973473317921,0.01
4,0.002274959048658463,0.0010869675516430289,0.01
5,0.0022909267499780154,0.00033387383304769175,0.01
6,0.0022579176038368945,0.00042727341865189374,0.01
7,0.00223620189923767,0.0007758261136338114,0.01
8,0.0022768863952388266,0.0003610288457013667,0.01
9,0.0022476390041994594,0.0008784551255404949,0.01
10,0.0022029007197645334,0.0008822159677278251,0.01
11,0.0022412539319897344,0.0026391727625951172,0.001
12,0.0014362582906560495,0.0003989463235391304,0.001
13,0.0013963441089324458,0.000799886248409748,0.001
14,0.0013787459565827568,0.0009277020170819014,0.001
15,0.0013703042070833168,0.0007477399014402181,0.001
