epoch,loss,mae,root_mean_squared_error,val_loss,val_mae,val_root_mean_squared_error
0,0.030226822942495346,0.7844131588935852,1.0453193187713623,0.021333325654268265,0.4965209364891052,0.5648518204689026
1,0.01719234138727188,0.36828240752220154,0.5249335169792175,0.010294225066900253,0.14868520200252533,0.1926632970571518
2,0.010776106268167496,0.17617201805114746,0.2728613018989563,0.00715948361903429,0.06642308831214905,0.09716884046792984
3,0.0077506001107394695,0.09827733784914017,0.16190066933631897,0.00558340921998024,0.036421939730644226,0.04808623716235161
4,0.006052207667380571,0.06343940645456314,0.10948643088340759,0.00472794845700264,0.027567420154809952,0.039727404713630676
5,0.004967574495822191,0.046577051281929016,0.0820072591304779,0.004063163418322802,0.022749772295355797,0.03650864213705063
6,0.004170970059931278,0.03674039617180824,0.06555406749248505,0.0035042462404817343,0.019496753811836243,0.031603675335645676
7,0.0035462991800159216,0.030658692121505737,0.05381424352526665,0.0031387119088321924,0.02207164652645588,0.03744892776012421
8,0.00301438570022583,0.026343952864408493,0.04420081153512001,0.0026132329367101192,0.016703033819794655,0.028339168056845665
9,0.002544289454817772,0.02306605689227581,0.038085926324129105,0.002205802593380213,0.014868420548737049,0.02693381905555725
10,0.00211679027415812,0.020377054810523987,0.0324278324842453,0.0018541825702413917,0.015015548095107079,0.026044480502605438
11,0.0017493092454969883,0.01871717907488346,0.02960367687046528,0.0016448352253064513,0.019004886969923973,0.03368617594242096
12,0.0014300678158178926,0.01743992231786251,0.027440270408988,0.001312526990659535,0.01883402094244957,0.027740193530917168
13,0.0011575274402275681,0.016271289438009262,0.025769410654902458,0.0010120061924681067,0.014731697738170624,0.02323075197637081
14,0.0009348165476694703,0.015317757613956928,0.024502718821167946,0.0008138330886140466,0.014449185691773891,0.021266423165798187
15,0.0007630852051079273,0.014818067662417889,0.024225566536188126,0.0006866533076390624,0.014801103621721268,0.022461317479610443
16,0.0006299180677160621,0.01442677341401577,0.023931819945573807,0.0005699453176930547,0.014729364775121212,0.022448619827628136
17,0.0005171565571799874,0.01350103784352541,0.022793445736169815,0.0004739976138807833,0.013479191809892654,0.02289356105029583
18,0.0004381472826935351,0.013146868906915188,0.022590406239032745,0.00043522886699065566,0.013939814642071724,0.024664543569087982
19,0.00039373739855363965,0.01342774834483862,0.02391013875603676,0.0008632263052277267,0.036887120455503464,0.04052788019180298
20,0.00041569265886209905,0.015122251585125923,0.02834455855190754,0.0003009726060554385,0.01056780107319355,0.018305709585547447
21,0.00033144280314445496,0.013072112575173378,0.022880086675286293,0.0003044788318220526,0.01174196507781744,0.02138737216591835
22,0.000311389216221869,0.013153569772839546,0.023149138316512108,0.0002722010831348598,0.012550835497677326,0.02012791857123375
23,0.0003503928310237825,0.014974886551499367,0.02676416002213955,0.0010887181852012873,0.044169411063194275,0.059238649904727936
24,0.0002977561380248517,0.013022266328334808,0.021251533180475235,0.0002516286913305521,0.009548559784889221,0.019323529675602913
25,0.0002655595017131418,0.012284536845982075,0.021166153252124786,0.00027386099100112915,0.015840968117117882,0.020352451130747795
26,0.00028920266777276993,0.013380269519984722,0.026199303567409515,0.00042051379568874836,0.02266165055334568,0.028031567111611366
27,0.0003610269632190466,0.015723034739494324,0.03925156593322754,0.0031293160282075405,0.11514211446046829,0.13450248539447784
28,0.0002896383812185377,0.013081994839012623,0.02228393964469433,0.00027383340056985617,0.013951956294476986,0.021840689703822136
29,0.00024020705313887447,0.011738436296582222,0.020954592153429985,0.0002734506851993501,0.012356518767774105,0.023629236966371536
30,0.0002780912327580154,0.013787472620606422,0.02820231206715107,0.0003438268613535911,0.01939547434449196,0.025481663644313812
31,0.00022889688261784613,0.011642971076071262,0.02115640789270401,0.0013345154002308846,0.05729208514094353,0.060677800327539444
32,0.0004281670262571424,0.018173227086663246,0.05840570107102394,0.0003632090229075402,0.019196821376681328,0.02362457662820816
33,0.0002635206328704953,0.012281104922294617,0.021116817370057106,0.00022919854382053018,0.01107499934732914,0.018746646121144295
34,0.00026904253172688186,0.013222030363976955,0.025185899809002876,0.0002746906247921288,0.012333772145211697,0.02273508347570896
0,0.030254477635025978,0.7853580713272095,1.0460546016693115,0.02252020128071308,0.5362672209739685,0.5917401909828186
1,0.017111819237470627,0.3659912943840027,0.520664393901825,0.010798599570989609,0.16618356108665466,0.20856714248657227
2,0.010613741353154182,0.17145228385925293,0.2642973065376282,0.006942948326468468,0.06003984436392784,0.080625019967556
3,0.007288670167326927,0.08342894166707993,0.12957774102687836,0.005448759533464909,0.03267636150121689,0.04234086722135544
4,0.005311276763677597,0.0381244495511055,0.05874231457710266,0.004490584135055542,0.018723957240581512,0.02807292714715004
5,0.004349119495600462,0.024162206798791885,0.03893493115901947,0.0039235507138073444,0.016997085884213448,0.02868380956351757
6,0.003717833198606968,0.02004825510084629,0.0315130241215229,0.0034193522296845913,0.016118353232741356,0.027634404599666595
7,0.0032100100070238113,0.01870158687233925,0.029477838426828384,0.0029489409644156694,0.01765073649585247,0.02630595490336418
8,0.0027569630183279514,0.018082212656736374,0.02842668630182743,0.0024979058653116226,0.01635548286139965,0.025387277826666832
9,0.002336823148652911,0.017572179436683655,0.02787637896835804,0.00210789917036891,0.01555541530251503,0.026035288348793983
10,0.0019468170357868075,0.017098475247621536,0.02701389789581299,0.001810187823139131,0.017595091834664345,0.02811400219798088
11,0.0015989550156518817,0.016801152378320694,0.02680116705596447,0.0014598444104194641,0.01877855882048607,0.026429330930113792
12,0.0012994077987968922,0.016734004020690918,0.026485100388526917,0.0013986316043883562,0.024569721892476082,0.03696805238723755
13,0.0010460609337314963,0.016492487862706184,0.026030007749795914,0.0009887717897072434,0.022588307037949562,0.026117607951164246
14,0.000838497478980571,0.016423149034380913,0.024803517386317253,0.0008090843330137432,0.021043462678790092,0.02604871243238449
15,0.0006668427959084511,0.015387608669698238,0.023318268358707428,0.0005888802697882056,0.014546221122145653,0.02165304869413376
16,0.0005362410447560251,0.014551118016242981,0.022421829402446747,0.0005161460139788687,0.01852443441748619,0.022528566420078278
17,0.0004469288105610758,0.014428073540329933,0.022185619920492172,0.0003784102154895663,0.012790570966899395,0.01984640769660473
18,0.00037866533966735005,0.014015995897352695,0.021832089871168137,0.0004942943924106658,0.023039795458316803,0.02834305912256241
19,0.00032761559123173356,0.013742509298026562,0.02138027548789978,0.00034950333065353334,0.01751186139881611,0.023269062861800194
20,0.00029400482890196145,0.01359737291932106,0.02118215709924698,0.0003355173394083977,0.019225258380174637,0.023316310718655586
21,0.0002739802876021713,0.013539818115532398,0.02128175087273121,0.0005655903369188309,0.02745118923485279,0.03854849189519882
22,0.00026763626374304295,0.013686375692486763,0.021690672263503075,0.0002981986617669463,0.012177877128124237,0.025380674749612808
23,0.00025537205510772765,0.013245184905827045,0.021643362939357758,0.00021630698756780475,0.010723109357059002,0.019115757197141647
24,0.0002833036123774946,0.01430655550211668,0.02551003359258175,0.0008266101940535009,0.038723453879356384,0.046518776565790176
25,0.00026659516151994467,0.013448014855384827,0.02182043343782425,0.0004033581935800612,0.021869879215955734,0.02926604263484478
26,0.0002222124021500349,0.01219576969742775,0.020245572552084923,0.00035088995355181396,0.019485963508486748,0.028383640572428703
27,0.00021016965911258012,0.012188272550702095,0.020014401525259018,0.00026802983484230936,0.017227156087756157,0.02321767993271351
28,0.00019643816631287336,0.011669251136481762,0.019494470208883286,0.00019740298739634454,0.01181062962859869,0.01950366236269474
29,0.00019959177006967366,0.012051056139171124,0.019979219883680344,0.000613101408816874,0.033270467072725296,0.03536326810717583
30,0.00020027067512273788,0.012083356268703938,0.02015755884349346,0.00021202494099270552,0.012536362744867802,0.021156035363674164
31,0.00019309157505631447,0.011852208524942398,0.01966058276593685,0.0002385173866059631,0.013558399863541126,0.02348853461444378
32,0.00018546392675489187,0.011489777825772762,0.019231535494327545,0.0001712065568426624,0.013291148468852043,0.01798475906252861
33,0.00018654939776752144,0.011667292565107346,0.019429177045822144,0.00022466246446128935,0.01242226641625166,0.02279861830174923
