actual,predicted,residuals,abs_error,percentage_error
0.33579642,0.31730965,0.018486768,0.018486768,5.5053496
0.23703271,0.22409627,0.012936443,0.012936443,5.457661
0.30893552,0.29674292,0.012192607,0.012192607,3.9466512
0.4622558,0.40716082,0.055094987,0.055094987,11.918723
0.535045,0.46965396,0.06539106,0.06539106,12.221601
0.40636498,0.36619437,0.04017061,0.04017061,9.885352
0.14542471,0.16731246,-0.02188775,0.02188775,15.050914
0.228362,0.22003159,0.008330405,0.008330405,3.6478944
0.57718927,0.50699604,0.07019323,0.07019323,12.161216
0.25829658,0.24530937,0.012987211,0.012987211,5.028023
0.31642988,0.302473,0.013956875,0.013956875,4.4107323
0.30679348,0.2952641,0.011529386,0.011529386,3.7580285
0.2068592,0.20843343,-0.0015742332,0.0015742332,0.76101667
0.2562143,0.2423952,0.013819084,0.013819084,5.3935647
0.599924,0.5293834,0.07054061,0.07054061,11.758257
0.42256242,0.3775459,0.045016527,0.045016527,10.653225
0.10229847,0.13894434,-0.036645874,0.036645874,35.822502
0.0019456914,0.095831215,-0.093885526,0.093885526,4825.2793
0.27787673,0.26685905,0.01101768,0.01101768,3.9649525
0.34580204,0.32580912,0.019992918,0.019992918,5.7816076
0.45442867,0.40106127,0.053367406,0.053367406,11.743847
0.16169344,0.17880517,-0.017111734,0.017111734,10.582824
0.5995336,0.52898645,0.07054716,0.07054716,11.767008
0.2670281,0.25407323,0.012954861,0.012954861,4.851497
0.54433155,0.4773406,0.06699094,0.06699094,12.307011
0.3782215,0.34753224,0.03068927,0.03068927,8.1140995
0.48327768,0.42460987,0.05866781,0.05866781,12.139565
0.46783918,0.41141734,0.056421846,0.056421846,12.060094
0.5872425,0.5166658,0.07057667,0.07057667,12.018318
0.30497807,0.2945461,0.010431975,0.010431975,3.4205656
0.42400333,0.37854472,0.045458615,0.045458615,10.721287
0.08536437,0.12918326,-0.04381889,0.04381889,51.331585
0.4665928,0.4104728,0.05611998,0.05611998,12.027614
0.44764167,0.39587492,0.051766753,0.051766753,11.564328
0.008580043,0.09754683,-0.08896679,0.08896679,1036.9025
0.57148063,0.50164145,0.06983918,0.06983918,12.220743
0.21737684,0.21444574,0.002931103,0.002931103,1.348397
0.37371838,0.34467342,0.029044956,0.029044956,7.771883
0.5029062,0.44177788,0.06112832,0.06112832,12.155013
0.21150835,0.21116465,0.00034369528,0.00034369528,0.16249725
0.462544,0.40735123,0.05519277,0.05519277,11.932436
0.46914595,0.41242212,0.056723833,0.056723833,12.090872
0.5363125,0.47064537,0.06566715,0.06566715,12.244196
0.12364071,0.15257034,-0.028929628,0.028929628,23.39814
0.52181333,0.4589318,0.06288153,0.06288153,12.050579
0.06838976,0.120369285,-0.051979527,0.051979527,76.00483
