epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8034988641738892,0.8436141610145569,0.4185437262058258,0.6362878680229187,0.7286228537559509,0.4722535014152527
1,0.8681796789169312,0.8989787697792053,0.30561643838882446,0.8842568397521973,0.9127871990203857,0.26882776618003845
2,0.8808196783065796,0.9081785678863525,0.28087741136550903,0.8839573860168457,0.9139364957809448,0.2590903043746948
3,0.8875303268432617,0.9135013222694397,0.2682412266731262,0.8928887844085693,0.918785572052002,0.2502155900001526
4,0.8926302194595337,0.9162675142288208,0.2597666382789612,0.8876158595085144,0.9144181609153748,0.25026625394821167
5,0.8950332403182983,0.918827474117279,0.2541053295135498,0.8936959505081177,0.9193775653839111,0.24387392401695251
6,0.8970605731010437,0.9203068614006042,0.25022092461586,0.8936829566955566,0.9220307469367981,0.24245135486125946
7,0.8986080288887024,0.9218032360076904,0.2471485286951065,0.8968987464904785,0.9199609160423279,0.23901189863681793
8,0.8995900750160217,0.9226085543632507,0.24530449509620667,0.9074966311454773,0.9255033135414124,0.24142156541347504
9,0.9009292125701904,0.9234397411346436,0.24283619225025177,0.9076918959617615,0.9246453046798706,0.23862947523593903
10,0.9020302891731262,0.9243968725204468,0.24092143774032593,0.895492672920227,0.9224011301994324,0.23694778978824615
11,0.9021158218383789,0.9247467517852783,0.2393108308315277,0.9016899466514587,0.9220060110092163,0.2359955906867981
12,0.902889609336853,0.9251890778541565,0.23831376433372498,0.900791585445404,0.9218859672546387,0.23492471873760223
13,0.902934193611145,0.9252998232841492,0.23687896132469177,0.9014555811882019,0.9247211217880249,0.23275509476661682
14,0.9040836691856384,0.9259456992149353,0.23512353003025055,0.9064159989356995,0.9287751317024231,0.23261235654354095
15,0.903559148311615,0.9255943298339844,0.23517563939094543,0.8988126516342163,0.9214924573898315,0.2338506132364273
16,0.903990626335144,0.9267454147338867,0.23302458226680756,0.8888917565345764,0.9165401458740234,0.2418694943189621
17,0.9045486450195312,0.9263371825218201,0.2332385927438736,0.8945943117141724,0.9190298914909363,0.23685653507709503
18,0.9049875736236572,0.9268608689308167,0.23208098113536835,0.9068716764450073,0.9238139390945435,0.24618089199066162
19,0.9043700695037842,0.9264962077140808,0.2324468344449997,0.9078872203826904,0.9291546940803528,0.23243014514446259
20,0.9063490629196167,0.9273419380187988,0.22951529920101166,0.9000494480133057,0.9237539768218994,0.23550564050674438
21,0.9058059453964233,0.9277373552322388,0.22940976917743683,0.9091370701789856,0.9228357076644897,0.24730488657951355
22,0.9057649970054626,0.9275631904602051,0.2288322150707245,0.909879207611084,0.9240711331367493,0.24290354549884796
23,0.9066540598869324,0.9279540181159973,0.22754554450511932,0.9002317190170288,0.9246118068695068,0.23370769619941711
24,0.9074129462242126,0.9285601377487183,0.2258949726819992,0.8718883395195007,0.9010753631591797,0.2646912634372711
25,0.9080601930618286,0.9292768836021423,0.22402815520763397,0.8947635889053345,0.9167846441268921,0.24440740048885345
26,0.9087632298469543,0.929755687713623,0.22279667854309082,0.9099963307380676,0.9236698746681213,0.23952634632587433
27,0.9096113443374634,0.9303386807441711,0.22093597054481506,0.8953364491462708,0.9230678081512451,0.2370874285697937
28,0.9102883338928223,0.9313865303993225,0.21860039234161377,0.8860665559768677,0.9153357744216919,0.24325083196163177
29,0.9106826782226562,0.9316143989562988,0.21714207530021667,0.9076007604598999,0.923771858215332,0.23773634433746338
