EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1716577385,4.258983E-3,-1.556930E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577391,-1.084829E-2,3.965742E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577398,-6.399101E-3,2.339280E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577405,4.742578E-4,-1.733715E-4,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577411,-1.108724E-2,4.053093E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577418,-1.032250E-2,3.773535E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577424,-1.095632E-2,4.005234E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577431,-7.241944E-3,2.647393E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577437,-8.751184E-3,3.199117E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577444,-2.233266E-2,8.164012E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577451,-1.114971E-2,4.075931E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577457,-1.120763E-2,4.097104E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577464,-1.417748E-2,5.182774E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577470,-4.869256E-3,1.780024E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577477,-1.736724E-2,6.348836E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577483,-1.271344E-2,4.647573E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577490,3.059894E-4,-1.118587E-4,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577497,-9.775002E-3,3.573388E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577503,-2.100135E-2,7.677336E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577510,-4.819307E-3,1.761765E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577516,-7.234466E-3,2.644660E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577523,-2.468814E-3,9.025092E-4,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577529,-3.825971E-3,1.398637E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577536,-1.753880E-2,6.411552E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577543,-9.927533E-3,3.629148E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577549,-1.499114E-2,5.480221E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577556,-1.439281E-2,5.261493E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577562,-1.034285E-2,3.780973E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577569,-1.554305E-2,5.681979E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577575,-9.462916E-3,3.459300E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577582,3.816044E-3,-1.395008E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577589,8.104631E-4,-2.962760E-4,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577595,1.238673E-5,-4.528142E-6,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577602,-6.808135E-3,2.488808E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577608,-8.047309E-3,2.941805E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577615,-1.298585E-2,4.747158E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577621,2.298161E-4,-8.401245E-5,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577628,-1.095824E-3,4.005938E-4,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577635,-1.459757E-2,5.336345E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577641,-1.204999E-2,4.405041E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577648,-2.405871E-2,8.794995E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577654,-7.563303E-3,2.764870E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577661,-1.106515E-2,4.045018E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577667,-1.905362E-2,6.965316E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577674,-1.132067E-2,4.138429E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577680,-2.420344E-2,8.847904E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577687,-3.154124E-3,1.153034E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577694,-1.396609E-2,5.105497E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577700,-1.296944E-2,4.741159E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716577707,-9.346309E-3,3.416673E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
