epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,2e-05,0.018221808087883224,0.004584706184697398,0.009736798636997984,0.0010089679256305556,0.0006067695867474896,0.0009873010941292427
1,8.000000000000001e-06,0.0005167102014470086,0.0015068727416648832,0.002070176993599082,0.0002700537011608423,0.0007145528975778097,0.001057741038956372
2,4.800000000000001e-06,0.00020555722069197878,0.001275386643920536,0.0017607052668570798,0.00014591774630496866,0.0004327831760378629,0.0008964796355952171
3,3.8400000000000005e-06,0.00011852018818006117,0.00114195653337138,0.0015993374600940186,9.118053919691612e-05,0.0004087275342531059,0.000878205183903154
4,3.8400000000000005e-06,8.012090298618437e-05,0.001021742401775667,0.0014376740204544828,6.524789674671715e-05,0.00039456885455108645,0.0008392337631845876
5,3.8400000000000005e-06,5.5639515894110445e-05,0.0009176935192207897,0.0013031498751408627,4.563218638411875e-05,0.00032721773306481136,0.0007874342733501229
6,3.839990429724145e-06,4.098410807666753e-05,0.0008356034372742274,0.0012016357318812723,3.468064163307313e-05,0.0004767747312199586,0.0008356594479943027
7,3.839952148811536e-06,3.175075547263121e-05,0.0007632928144696845,0.001122866541794353,2.6057678370774462e-05,0.00035323929471430936,0.0007644978631591145
8,3.839866017974585e-06,2.3588973474599327e-05,0.0007030335221299659,0.0010408794601948106,1.9336316194292736e-05,0.0004225390808557802,0.0007689794894803431
9,3.83971290081164e-06,1.767839971280441e-05,0.0006554367266779151,0.0009705569876494471,1.5587090654336985e-05,0.0005423309085853147,0.0008404008279486143
10,3.839473666573326e-06,1.4816940502013881e-05,0.0006165759287336182,0.0009336700600755056,1.3379713600511061e-05,0.00041685799566299056,0.0007717172578081324
11,3.839129193882064e-06,1.2961059281552206e-05,0.0005876717239972315,0.0009059254779284918,1.2367187232091714e-05,0.0006622677610973024,0.0009427578501026496
12,3.838660375403748e-06,1.1631633588254196e-05,0.0005660365734480461,0.0008805197715101688,1.0977125926367773e-05,0.0005063875538503604,0.0008122227781483751
13,3.838048123470021e-06,1.0706009394698065e-05,0.0005459282265540577,0.0008563225880656571,1.049690006552696e-05,0.0006309582083721214,0.0009016066612095312
14,3.837273376648883e-06,9.97712369281141e-06,0.0005306755552088816,0.0008357386285066674,9.519038707508466e-06,0.0004641397721169188,0.0007716085659613744
15,3.8363171072605e-06,9.386019269178905e-06,0.0005174910689780308,0.0008161048380861799,8.863955872845052e-06,0.0003843052519953582,0.0007145384001821312
