EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1659475055,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659475255,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659475797,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,1000,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659644473,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659644513,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659646317,,,-2.377120E+0,0,4,Top Proton,,,,,,,,15,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659646335,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659646376,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659646580,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,1000,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1659654234,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,1000,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672881428,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672882347,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672882712,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672882719,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672882725,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672882732,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672959567,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672964502,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672964606,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672964612,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672964619,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672964625,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672966070,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672968489,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
1672971071,,,-2.377120E+0,0,4,Top Proton,0.000000,,,,,,,500,500,15287,213.000,400,275,1,,,,NaN,,,,,,,,,,,,
