epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,1.0000000116860974e-07,0.7317320108413696,0.0015909248031675816,0.001820061355829239,0.6305051445960999,0.0014208925422281027,0.0016580783994868398
1,1.0089999705087394e-05,0.17492325603961945,0.0002011878095800057,0.00034201296512037516,0.10914614051580429,5.506927482201718e-05,7.004063809290528e-05
2,2.0080000467714854e-05,0.13251475989818573,0.00010125172411790118,0.00012951507233083248,0.12830395996570587,7.638851820956916e-05,9.586204396327958e-05
3,3.006999941135291e-05,0.12932340800762177,0.00010223158460576087,0.00013205308641772717,0.11556399613618851,8.402155799558386e-05,0.0001055378234013915
4,4.006000017398037e-05,0.12797434628009796,0.00011242982145631686,0.00015785523282829672,0.12302059680223465,0.0001072267914423719,0.00017930676403921098
5,5.004999911761843e-05,0.1230473518371582,0.00011827549315057695,0.00019153321045450866,0.11843579262495041,0.00011934342182939872,0.00027817790396511555
6,6.004000169923529e-05,0.11782430857419968,0.00012204511585878208,0.00022684359282720834,0.09010501205921173,7.123805698938668e-05,0.00010149938316317275
7,7.003000064287335e-05,0.11308475583791733,0.00012597635213751346,0.0002690018154680729,0.1234680786728859,0.00018470632494427264,0.00042973479139618576
8,8.00199995865114e-05,0.11045832931995392,0.00013298570411279798,0.00032231849036179483,0.09968914836645126,0.00012321000394877046,0.0004777683352585882
9,9.000999853014946e-05,0.10645005851984024,0.00013254329678602517,0.0003457001585047692,0.07333547621965408,6.648489215876907e-05,0.00014477482181973755
10,9.999999747378752e-05,0.10136688500642776,0.0001289377105422318,0.00034083984792232513,0.0764348953962326,9.388539911014959e-05,0.0003744359710253775
11,9.9969569419045e-05,0.0956706553697586,0.00012531054380815476,0.00033115327823907137,0.08062248677015305,0.0001124778573284857,0.000582495704293251
12,9.987832163460553e-05,0.09115339070558548,0.00012126104411436245,0.0003403452574275434,0.0728868767619133,6.523144111270085e-05,0.0002286849485244602
13,9.972637053579092e-05,0.08902641385793686,0.00011983854346908629,0.0003452584205660969,0.054249003529548645,4.964372783433646e-05,0.00026224119937978685
14,9.951389074558392e-05,0.08468462526798248,0.00011467736476333812,0.0003297913644928485,0.09683067351579666,0.00015728501603007317,0.0006974405259825289
15,9.924114419845864e-05,0.08333226293325424,0.0001150525567936711,0.00033849282772280276,0.06861235201358795,9.808140021050349e-05,0.0004849398392252624
16,9.890847286442295e-05,0.07927719503641129,0.00011095446825493127,0.00033818944939412177,0.09514950960874557,0.00014548958279192448,0.0008516190573573112
17,9.8516269645188e-05,0.07748779654502869,0.0001098937209462747,0.0003171244461555034,0.045001883059740067,4.2717343603726476e-05,0.00019460602197796106
18,9.806502202991396e-05,0.07681700587272644,0.00011504682333907112,0.0003550481633283198,0.04836051166057587,6.501340976683423e-05,0.0004092436865903437
19,9.755527571542189e-05,0.07491811364889145,0.00011282166815362871,0.00036091060610488057,0.05509817972779274,7.095761247910559e-05,0.0003479215956758708
20,9.698764915810898e-05,0.07210555672645569,0.00011250440002186224,0.0003382779541425407,0.06746073067188263,0.00014566587924491614,0.001309327082708478
21,9.636283357394859e-05,0.07231585681438446,0.0001125744529417716,0.0003451720695011318,0.04582851007580757,4.2123592720599845e-05,0.00010732826922321692
22,9.568159293849021e-05,0.06994523108005524,0.00010988526628352702,0.0003297376970294863,0.055855825543403625,9.16716962819919e-05,0.0004820140893571079
23,9.494476398685947e-05,0.06826096028089523,0.00010932396253338084,0.0003318414092063904,0.04809053614735603,6.129727262305096e-05,0.0003259186341892928
24,9.41532343858853e-05,0.0677720457315445,0.00010949181887554005,0.0003211639414075762,0.07720185816287994,0.00013960823707748204,0.000735990353859961
25,9.330797183793038e-05,0.06726463884115219,0.00010931890574283898,0.00034830396180041134,0.06536725163459778,9.131157275987789e-05,0.00015902513405308127
26,9.241000225301832e-05,0.0639345720410347,0.0001053510932251811,0.0003085024072788656,0.04222914204001427,7.10402600816451e-05,0.0005645299679599702
27,9.146042430074885e-05,0.06274361908435822,0.00010685665620258078,0.000316473247949034,0.044125791639089584,7.224730507005006e-05,0.0003404649323783815
28,9.046040213434026e-05,0.06408917158842087,0.00011342701327521354,0.00034773655352182686,0.04510771855711937,9.416530519956723e-05,0.0006983462371863425
29,8.941113628679886e-05,0.061572588980197906,0.00010740808647824451,0.00031184364343062043,0.05817035958170891,0.00012130899267503992,0.0006212969892658293
30,8.831392187858e-05,0.06244698539376259,0.00011013208859367296,0.00031504518119618297,0.10190105438232422,0.00020629125356208533,0.0010301613947376609
31,4.358504156698473e-05,0.0615730844438076,0.00011196850391570479,0.00032669585198163986,0.08837535977363586,0.00023755438451189548,0.0018573349807411432
32,8.598102431278676e-05,0.05949244275689125,0.00010759443102870136,0.0003100158355664462,0.07951279729604721,0.00015584263019263744,0.0011809540446847677
33,8.474818605463952e-05,0.06091022863984108,0.000111703913717065,0.0003201751387678087,0.06507385522127151,0.00016711160424165428,0.0010820820461958647
34,8.347307448275387e-05,0.06051216647028923,0.00011211042874492705,0.00035334384301677346,0.06978132575750351,0.0001463756343582645,0.0009971583494916558
35,8.215723937610164e-05,0.06358575075864792,0.00011483786511234939,0.00034045675420202315,0.09590055793523788,0.00019952496222686023,0.001476609380915761
36,8.080228872131556e-05,0.06205939128994942,0.0001114069891627878,0.0003361660928931087,0.07407606393098831,0.00016652786871418357,0.0015808014431968331
37,7.940987416077405e-05,0.06040998175740242,0.00011033970076823607,0.00033278370392508805,0.06147081404924393,0.0001560359523864463,0.001557999523356557
38,7.79816837166436e-05,0.06283310055732727,0.00011464600538602099,0.0003346980083733797,0.10359444469213486,0.0001970813173102215,0.0009392829961143434
39,7.651946361875162e-05,0.05826199799776077,0.00010654293873813003,0.0002943623112514615,0.07920229434967041,0.0001920708455145359,0.0017600393621250987
40,7.502499647671357e-05,0.06016337126493454,0.00011155940592288971,0.0004570193705148995,0.07245443761348724,0.00016554608009755611,0.0014843284152448177
41,7.3500101279933e-05,0.05597178637981415,0.00010376266436651349,0.00028907498926855624,0.09432512521743774,0.0002495738444849849,0.002261527581140399
42,7.194664067355916e-05,0.05513937398791313,0.00010179731907555833,0.00034142081858590245,0.08983363211154938,0.00019380595767870545,0.0013863364001736045
43,7.036649185465649e-05,0.0545862652361393,0.0001012676875689067,0.00028367259074002504,0.059775181114673615,0.00014617985289078206,0.0014802615623921156
44,6.876159750390798e-05,0.05465075373649597,0.00010186796134803444,0.0002885202702600509,0.058344751596450806,0.00014616796397604048,0.0014285068027675152
45,6.713390757795423e-05,0.053677596151828766,0.00010122016101377085,0.0002656737342476845,0.07166937738656998,0.00020357630273792893,0.0020960038527846336
46,6.548540113726631e-05,0.05458835884928703,0.00010244174336548895,0.0002881866239476949,0.07445799559354782,0.0002029364404734224,0.0019544754177331924
